id,Name,Manufacturer,Core Count,Performance Core Clock,Performance Boost Clock,TDP,Integrated Graphics,L3 Cache,Simultaneous Multithreading,Includes CPU Cooler,Socket,Price,Url
13,AMD Ryzen 7 3800X 3.9 GHz 8-Core Processor (Ryzen 7 3800X),AMD,8,3.9 GHz,4.5 GHz,105 W,None,2 x 16 MB,Yes,Yes,AM4,€299.90,https://fi.pcpartpicker.com/product/qryV3C/amd-ryzen-7-3800x-39-ghz-8-core-processor-100-100000025box
14,AMD Ryzen 5 4600G 3.7 GHz 6-Core Processor (100-100000147BOX),AMD,6,3.7 GHz,4.2 GHz,65 W,Radeon Vega 7,1 x 8 MB,Yes,Yes,AM4,€179.90,https://fi.pcpartpicker.com/product/CNVmP6/amd-ryzen-5-4600g-37-ghz-6-core-processor-100-100000147box
15,AMD Ryzen 3 4100 3.8 GHz Quad-Core Processor (100-100000510BOX),AMD,4,3.8 GHz,4 GHz,65 W,None,1 x 4 MB,Yes,Yes,AM4,€104.90,https://fi.pcpartpicker.com/product/drBG3C/amd-ryzen-3-4100-38-ghz-quad-core-processor-100-100000510box
16,Intel Celeron G6900 3.4 GHz Dual-Core Processor (BX80715G6900),Intel,2,3.4 GHz,,46 W,Intel UHD Graphics 710,1 x 4 MB,No,Yes,LGA1700,€63.00,https://fi.pcpartpicker.com/product/QKbTwP/intel-celeron-g6900-34-ghz-dual-core-processor-bx80715g6900
17,Intel Celeron G5925 3.6 GHz Dual-Core Processor (BX80701G5925),Intel,2,3.6 GHz,,58 W,Intel UHD Graphics 610,1 x 4 MB,No,Yes,LGA1200,€67.00,https://fi.pcpartpicker.com/product/FpXYcf/intel-celeron-g5925-36-ghz-dual-core-processor-bx80701g5925
18,Intel Celeron G5920 3.5 GHz Dual-Core Processor (BX80701G5920),Intel,2,3.5 GHz,,58 W,Intel UHD Graphics 610,1 x 4 MB,No,Yes,LGA1200,€66.00,https://fi.pcpartpicker.com/product/R7gQzy/intel-celeron-g5920-35-ghz-dual-core-processor-bx80701g5920
19,Intel Pentium Gold G6400 4 GHz Dual-Core Processor (BX80701G6400),Intel,2,4 GHz,,58 W,Intel UHD Graphics 610,1 x 4 MB,Yes: Hyper-Threading,Yes,LGA1200,€69.00,https://fi.pcpartpicker.com/product/FvCFf7/intel-pentium-gold-g6400-4-ghz-dual-core-processor-bx80701g6400
20,Intel Pentium Gold G7400 3.7 GHz Dual-Core Processor (BX80715G7400),Intel,2,3.7 GHz,,46 W,Intel UHD Graphics 710,1 x 6 MB,Yes: Hyper-Threading,Yes,LGA1700,€94.00,https://fi.pcpartpicker.com/product/KsBG3C/intel-pentium-gold-g7400-37-ghz-dual-core-processor-bx80715g7400
21,Intel Pentium Gold G6405 4.1 GHz Dual-Core Processor (BX80701G6405),Intel,2,4.1 GHz,,58 W,Intel UHD Graphics 610,1 x 4 MB,Yes: Hyper-Threading,Yes,LGA1200,€69.00,https://fi.pcpartpicker.com/product/gCzhP6/intel-pentium-gold-g6405-41-ghz-dual-core-processor-bx80701g6405
22,Intel Pentium Gold G6605 4.3 GHz Dual-Core Processor (BX80701G6605),Intel,2,4.3 GHz,,58 W,Intel UHD Graphics 630,1 x 4 MB,Yes: Hyper-Threading,Yes,LGA1200,€118.00,https://fi.pcpartpicker.com/product/tNPQzy/intel-pentium-gold-g6605-43-ghz-dual-core-processor-bx80701g6605
