id	Name	Manufacturer	Form Factor	Efficiency Rating	Wattage	Length	Modular	Color	Type	Fanless	ATX Connectors	EPS Connectors	PCIe 12-Pin Connectors	PCIe 8-Pin Connectors	PCIe 6+2-Pin Connectors	PCIe 6-Pin Connectors	SATA Connectors	Molex 4-Pin Connectors	Price	Url
46	Corsair SF600 600 W 80+ Gold Certified Fully Modular SFX Power Supply (CP-9020105-NA)	Corsair	SFX	80+ Gold	600 W	100 mm	Full		SFX12V	No	0	1	0	0	4	0	4	1	€124.90	https://fi.pcpartpicker.com/product/CQ648d/corsair-power-supply-cp9020105na
47	Corsair CX550M 550 W 80+ Bronze Certified Semi-modular ATX Power Supply (CP-9020102-NA)	Corsair	ATX	80+ Bronze	550 W	140 mm	Semi		ATX	No	0	1	0	0	2	0	5	4	€77.90	https://fi.pcpartpicker.com/product/3hkwrH/corsair-power-supply-cp9020102na
48	Asus ROG Strix 750 W 80+ Gold Certified Fully Modular ATX Power Supply (ROG-STRIX-750G)	Asus	ATX	80+ Gold	750 W	160 mm	Full	Black / Red	ATX	No	0	2	0	0	4	0	8	3	€118.90	https://fi.pcpartpicker.com/product/CRVG3C/asus-rog-strix-750-w-80-gold-certified-fully-modular-atx-power-supply-rog-strix-750g
49	EVGA BQ 750 W 80+ Bronze Certified Semi-modular ATX Power Supply (110-BQ-0750-V1)	EVGA	ATX	80+ Bronze	750 W	140 mm	Semi		ATX	No	0	2	0	0	3	0	9	5	€96.90	https://fi.pcpartpicker.com/product/xLs8TW/evga-bq-750w-80-bronze-certified-semi-modular-atx-power-supply-110-bq-0750-v1
50	Asus TUF Gaming 650B 650 W 80+ Bronze Certified ATX Power Supply (TUF-GAMING-650B)	Asus	ATX	80+ Bronze	650 W	150 mm	No	Black	ATX	No	0	2	0	0	4	0	5	4	€89.90	https://fi.pcpartpicker.com/product/Dn8bt6/asus-tuf-gaming-650-w-80-bronze-certified-atx-power-supply-tuf-gaming-650b
51	Asus THOR P2 Gaming 1000 W 80+ Platinum Certified Fully Modular ATX Power Supply (ROG-THOR-1000P2-GAMING)	Asus	ATX	80+ Platinum	1000 W	190 mm	Full	Silver / Black	ATX	No	0	2	1	0	8	0	12	6	€356.00	https://fi.pcpartpicker.com/product/PsNxFT/asus-thor-p2-gaming-1000-w-80-platinum-certified-fully-modular-atx-power-supply-rog-thor-1000p2-gaming
52	be quiet! Straight Power 11 1000 W 80+ Platinum Certified Fully Modular ATX Power Supply (BN644)	be quiet!	ATX	80+ Platinum	1000 W	170 mm	Full	Black	ATX	No	0	2	0	0	6	0	11	4	€219.90	https://fi.pcpartpicker.com/product/N7gQzy/be-quiet-straight-power-11-1000-w-80-platinum-certified-fully-modular-atx-power-supply-bn644
53	Asus TUF Gaming B 550 W 80+ Bronze Certified ATX Power Supply (TUF GAMING 550B)	Asus	ATX	80+ Bronze	550 W	150 mm	No	Black	ATX	No	0	1	0	0	2	0	5	4	€95.90	https://fi.pcpartpicker.com/product/RkjBD3/asus-tuf-gaming-b-550-w-80-bronze-certified-atx-power-supply-tuf-gaming-550b
54	Cooler Master V750 SFX GOLD 750 W 80+ Gold Certified Fully Modular SFX Power Supply (MPY-7501-SFHAGV-WU)	Cooler Master	SFX	80+ Gold	750 W	100 mm	Full	White	SFX12V	No	0	2	0	0	4	0	8	4	€176.90	https://fi.pcpartpicker.com/product/JrLFf7/cooler-master-v-sfx-gold-750-w-80-gold-certified-fully-modular-sfx-power-supply-mpy-7501-sfhagv-wu
55	be quiet! Straight Power 11 750W 750 W 80+ Gold Certified Fully Modular ATX Power Supply (BN283)	be quiet!	ATX	80+ Gold	750 W	170 mm	Full		ATX	No	0	2	0	0	4	0	11	8	€137.90	https://fi.pcpartpicker.com/product/9htQzy/be-quiet-straight-power-11-750w-80-gold-certified-fully-modular-atx-power-supply-bn283
56	NZXT C1000 (2022) 1000 W 80+ Gold Certified Fully Modular ATX Power Supply (PA-0G1BB-US)	NZXT	ATX	80+ Gold	1000 W	150 mm	Full	Black	ATX	No	0	2	0	0	6	0	6	6	€179.90	https://fi.pcpartpicker.com/product/43JgXL/nzxt-c-2022-1000-w-80-gold-certified-fully-modular-atx-power-supply-pa-0g1bb-us
57	Cooler Master V SFX Gold 650 W 80+ Gold Certified Fully Modular SFX Power Supply (MPY-6501-SFHAGV-US)	Cooler Master	SFX	80+ Gold	650 W	100 mm	Full	Black	SFX12V	No	0	2	0	0	4	0	8	4	€99.90	https://fi.pcpartpicker.com/product/DhRgXL/cooler-master-v-sfx-gold-650-w-80-gold-certified-fully-modular-sfx-power-supply-mpy-6501-sfhagv-us
