id	Name	Manufacturer	Capacity	Type	Cache	Form Factor	Interface	NVME	Price	Url
61	Western Digital Red Plus 2 TB 3.5" 5400RPM Internal Hard Drive (WD20EFZX)	Western Digital	2 TB	5400RPM	128 MB	3.5	SATA 6.0 Gb/s	No	€88.00	https://fi.pcpartpicker.com/product/n9WzK8/western-digital-wd-red-plus-2-tb-35-5400rpm-internal-hard-drive-wd20efzx
62	Western Digital Gold 8 TB 3.5" 7200RPM Internal Hard Drive (WD8004FRYZ)	Western Digital	8 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€275.00	https://fi.pcpartpicker.com/product/BwcRsY/western-digital-gold-8-tb-35-7200rpm-internal-hard-drive-wd8004fryz
63	Western Digital Red Pro 10 TB 3.5" 7200RPM Internal Hard Drive (WD102KFBX)	Western Digital	10 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€393.00	https://fi.pcpartpicker.com/product/vVCFf7/western-digital-red-pro-10-tb-35-7200rpm-internal-hard-drive-wd102kfbx
64	Western Digital Red Pro 8 TB 3.5" 7200RPM Internal Hard Drive (WD8003FFBX)	Western Digital	8 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€306.00	https://fi.pcpartpicker.com/product/y822FT/western-digital-red-pro-8tb-35-7200rpm-internal-hard-drive-wd8003ffbx
65	Western Digital Blue 500 GB 3.5" 7200RPM Internal Hard Drive (WD5000AZLX)	Western Digital	500 GB	7200RPM	32 MB	3.5	SATA 6.0 Gb/s	No	€63.00	https://fi.pcpartpicker.com/product/zH98TW/western-digital-internal-hard-drive-wd5000azlx
66	Seagate IronWolf NAS 1 TB 3.5" 5900RPM Internal Hard Drive (ST1000VN002)	Seagate	1 TB	5900RPM	64 MB	3.5	SATA 6.0 Gb/s	No	€77.00	https://fi.pcpartpicker.com/product/2FCrxr/seagate-ironwolf-1tb-35-5900rpm-internal-hard-drive-st1000vn002
67	Western Digital Gold 14 TB 3.5" 7200RPM Internal Hard Drive (WD141KRYZ)	Western Digital	14 TB	7200RPM	512 MB	3.5	SATA 6.0 Gb/s	No	€429.00	https://fi.pcpartpicker.com/product/6Y9tt6/western-digital-gold-14-tb-35-7200rpm-internal-hard-drive-wd141kryz
68	Seagate EXOS Enterprise 16 TB 3.5" 7200RPM Internal Hard Drive (ST16000NM004G)	Seagate	16 TB	7200RPM	256 MB	3.5	SAS 12.0 Gb/s	No	€469.00	https://fi.pcpartpicker.com/product/HFgQzy/seagate-exos-enterprise-16-tb-35-7200rpm-internal-hard-drive-st16000nm004g
69	Western Digital Gold 6 TB 3.5" 7200RPM Internal Hard Drive (WD6003FRYZ)	Western Digital	6 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€249.00	https://fi.pcpartpicker.com/product/z2mFf7/western-digital-gold-6-tb-35-7200rpm-internal-hard-drive-wd6003fryz
70	Western Digital Red Pro 6 TB 3.5" 7200RPM Internal Hard Drive (WD6003FFBX)	Western Digital	6 TB	7200RPM	256 MB	3.5	SATA 6.0 Gb/s	No	€264.00	https://fi.pcpartpicker.com/product/b3dxFT/western-digital-red-pro-6tb-35-7200rpm-internal-hard-drive-wd6003ffbx
