id	Name	Manufacturer	Type	Color	Power Supply	Side Panel Window	Power Supply Shroud	Motherboard Form Factor	Maximum Video Card Length	Volume	Dimensions	Price	Url
12	Lian Li O11 Dynamic EVO ATX Mid Tower Case (PC-O11DEX)	Lian Li	ATX Mid Tower	Black	None	Tinted Tempered Glass	Yes	ATX	422 mm / 16.614			€167.90	https://fi.pcpartpicker.com/product/Ykytt6/lian-li-o11-dynamic-evo-atx-mid-tower-case-pc-o11dex
13	Fractal Design Meshify C ATX Mid Tower Case (FD-CA-MESH-C-BKO-TG)	Fractal Design	ATX Mid Tower	Black	None	Tinted Tempered Glass	Yes	ATX	315 mm / 12.402	40.598 L	413 mm x 217 mm x 453 mm	€122.90	https://fi.pcpartpicker.com/product/Y6Crxr/fractal-design-meshify-c-atx-mid-tower-case-fd-ca-mesh-c-bko-tg
14	Corsair iCUE 4000X RGB ATX Mid Tower Case (CC-9011205-WW)	Corsair	ATX Mid Tower	White	None	Tempered Glass	Yes	ATX	360 mm / 14.173	48.553 L	453 mm x 230 mm x 466 mm	€169.90	https://fi.pcpartpicker.com/product/jNCFf7/corsair-icue-4000x-rgb-atx-mid-tower-case-cc-9011205-ww
15	NZXT H510 ATX Mid Tower Case (CA-H510B-B1)	NZXT	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	381 mm / 15 With Drive Cages	41.345 L	428 mm x 210 mm x 460 mm	€69.90	https://fi.pcpartpicker.com/product/b7hmP6/nzxt-h510-atx-mid-tower-case-ca-h510b-b1
16	Phanteks Eclipse P300A Mesh ATX Mid Tower Case (PH-EC300ATG_BK01)	Phanteks	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	355 mm / 13.976	36.4 L	400 mm x 200 mm x 455 mm	€72.90	https://fi.pcpartpicker.com/product/crqBD3/phanteks-eclipse-p300a-mesh-atx-mid-tower-case-ph-ec300atg_bk01
17	Lian Li LANCOOL 215 ATX Mid Tower Case (LANCOOL 215 BLACK)	Lian Li	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	370 mm / 14.567			€99.90	https://fi.pcpartpicker.com/product/YCH8TW/lian-li-lancool-215-atx-mid-tower-case-lancool-215-black
18	Lian Li O11 Air Mini ATX Mid Tower Case (O11AMX)	Lian Li	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	362 mm / 14.252	44.237 L	400 mm x 288 mm x 384 mm	€119.90	https://fi.pcpartpicker.com/product/RvNxFT/lian-li-o11-air-mini-atx-mid-tower-case-o11amx
19	NZXT H510 Elite ATX Mid Tower Case (CA-H510E-W1)	NZXT	ATX Mid Tower	White / Black	None	Tempered Glass	Yes	ATX	381 mm / 15	41.345 L	428 mm x 210 mm x 460 mm	€167.90	https://fi.pcpartpicker.com/product/kpx2FT/nzxt-h510-elite-atx-mid-tower-case-ca-h510e-w1
20	Lian Li PC-O11 Dynamic ATX Full Tower Case (PC-O11DW)	Lian Li	ATX Full Tower	White	None	Tempered Glass	Yes	ATX	420 mm / 16.535	53.984 L	445 mm x 272 mm x 446 mm	€139.90	https://fi.pcpartpicker.com/product/VxRzK8/lian-li-pc-o11dw-atx-full-tower-case-pc-o11dw
21	be quiet! Pure Base 500DX ATX Mid Tower Case (BGW37)	be quiet!	ATX Mid Tower	Black	None	Tempered Glass	Yes	ATX	369 mm / 14.528	48.337 L	450 mm x 232 mm x 463 mm	€118.90	https://fi.pcpartpicker.com/product/FCK2FT/be-quiet-pure-base-500dx-atx-mid-tower-case-bgw37
